epoch:  0 , training loss:  0.11048905676603317 , validation loss:  -0.10974295973777771 , validation dice:  0.6291841 , this epoch took:  12.707503318786621 s
epoch:  1 , training loss:  0.20941448152065278 , validation loss:  0.2864922308921814 , validation dice:  0.0 , this epoch took:  10.801560401916504 s
epoch:  2 , training loss:  0.290548371553421 , validation loss:  0.28031475722789767 , validation dice:  0.0 , this epoch took:  10.802302122116089 s
epoch:  3 , training loss:  0.2963287959098816 , validation loss:  0.2825972324609756 , validation dice:  0.0 , this epoch took:  10.671561002731323 s
epoch:  4 , training loss:  0.2946822589635849 , validation loss:  0.28000809490680695 , validation dice:  0.0 , this epoch took:  10.81442642211914 s
epoch:  5 , training loss:  0.2854015212059021 , validation loss:  0.2707291567325592 , validation dice:  0.0 , this epoch took:  10.684246063232422 s
epoch:  6 , training loss:  0.29270463943481445 , validation loss:  0.2803484183549881 , validation dice:  0.0 , this epoch took:  10.762054920196533 s
epoch:  7 , training loss:  0.2925227835178375 , validation loss:  0.2807414996623993 , validation dice:  0.0 , this epoch took:  10.743429899215698 s
epoch:  8 , training loss:  0.3032987068295479 , validation loss:  0.2911166977882385 , validation dice:  0.0 , this epoch took:  10.72083330154419 s
epoch:  9 , training loss:  0.28908944439888 , validation loss:  0.2882799130678177 , validation dice:  0.0 , this epoch took:  10.848871231079102 s
epoch:  10 , training loss:  0.2915649965405464 , validation loss:  0.28652481198310853 , validation dice:  0.0 , this epoch took:  10.873617887496948 s
epoch:  11 , training loss:  0.29269863802194596 , validation loss:  0.2755662724375725 , validation dice:  0.0 , this epoch took:  10.850703954696655 s
epoch:  12 , training loss:  0.2994400870203972 , validation loss:  0.2847548067569733 , validation dice:  0.0 , this epoch took:  10.760584831237793 s
epoch:  13 , training loss:  0.29110897409915926 , validation loss:  0.29004006922245024 , validation dice:  0.0 , this epoch took:  10.813711166381836 s
epoch:  14 , training loss:  0.2904425303339958 , validation loss:  0.2881066989898682 , validation dice:  0.0 , this epoch took:  10.884292364120483 s
epoch:  15 , training loss:  0.2841757088303566 , validation loss:  0.2773800453543663 , validation dice:  0.0 , this epoch took:  10.841885328292847 s
epoch:  16 , training loss:  0.29488688421249387 , validation loss:  0.28142509788274767 , validation dice:  0.0 , this epoch took:  10.825390577316284 s
epoch:  17 , training loss:  0.28910929715633393 , validation loss:  0.28525167882442476 , validation dice:  0.0 , this epoch took:  10.787781000137329 s
epoch:  18 , training loss:  0.292069855928421 , validation loss:  0.3094704765081406 , validation dice:  0.0 , this epoch took:  10.844398975372314 s
epoch:  19 , training loss:  0.2912476620674133 , validation loss:  0.28123727440834045 , validation dice:  0.0 , this epoch took:  10.645127058029175 s
epoch:  20 , training loss:  0.2872693400979042 , validation loss:  0.2848696517944336 , validation dice:  0.0 , this epoch took:  10.719696521759033 s
epoch:  21 , training loss:  0.2961240816116333 , validation loss:  0.34697562038898466 , validation dice:  0.0 , this epoch took:  10.924484252929688 s
epoch:  22 , training loss:  0.29475410050153733 , validation loss:  0.2876652076840401 , validation dice:  0.0 , this epoch took:  10.898023843765259 s
epoch:  23 , training loss:  0.2958449513316154 , validation loss:  0.28166106820106507 , validation dice:  0.0 , this epoch took:  10.835157871246338 s
epoch:  24 , training loss:  0.2870819934606552 , validation loss:  0.27947374284267423 , validation dice:  0.0 , this epoch took:  10.793388843536377 s
epoch:  25 , training loss:  0.29756659811735153 , validation loss:  0.2788756865262985 , validation dice:  0.0 , this epoch took:  10.84968614578247 s
epoch:  26 , training loss:  0.295727281332016 , validation loss:  0.2898799854516983 , validation dice:  0.0 , this epoch took:  10.824782133102417 s
epoch:  27 , training loss:  0.288709331870079 , validation loss:  0.294390055835247 , validation dice:  0.0 , this epoch took:  10.582385778427124 s
epoch:  28 , training loss:  0.2889539526700973 , validation loss:  0.2752243715524674 , validation dice:  0.0 , this epoch took:  10.723675966262817 s
epoch:  29 , training loss:  0.28963558447360993 , validation loss:  0.2760765129327774 , validation dice:  0.0 , this epoch took:  10.738897562026978 s
epoch:  30 , training loss:  0.2943213421106339 , validation loss:  0.31012297570705416 , validation dice:  0.0 , this epoch took:  10.781805753707886 s
epoch:  31 , training loss:  0.2874658877849579 , validation loss:  0.2886941814422607 , validation dice:  0.0 , this epoch took:  10.81092619895935 s
epoch:  32 , training loss:  0.2876473235487938 , validation loss:  0.28444138169288635 , validation dice:  0.0 , this epoch took:  10.859876155853271 s
epoch:  33 , training loss:  0.2918933824896812 , validation loss:  0.2813845181465149 , validation dice:  0.0 , this epoch took:  10.802668571472168 s
epoch:  34 , training loss:  0.2935238607525826 , validation loss:  0.2898202383518219 , validation dice:  0.0 , this epoch took:  10.706584692001343 s
epoch:  35 , training loss:  0.28854926174879075 , validation loss:  0.2768175846338272 , validation dice:  0.0 , this epoch took:  10.639048337936401 s
epoch:  36 , training loss:  0.2905315396785736 , validation loss:  0.27884536564350126 , validation dice:  0.0 , this epoch took:  10.744194984436035 s
epoch:  37 , training loss:  0.2949877513051033 , validation loss:  0.2805438494682312 , validation dice:  0.0 , this epoch took:  10.778787612915039 s
epoch:  38 , training loss:  0.28917354744672774 , validation loss:  0.28350680351257324 , validation dice:  0.0 , this epoch took:  10.782487630844116 s
epoch:  39 , training loss:  0.28945370692014694 , validation loss:  0.27833254635334015 , validation dice:  0.0 , this epoch took:  10.92586088180542 s
epoch:  40 , training loss:  0.291951504945755 , validation loss:  0.29548996210098266 , validation dice:  0.0 , this epoch took:  10.738619804382324 s
epoch:  41 , training loss:  0.28887517762184145 , validation loss:  0.2776387178897858 , validation dice:  0.0 , this epoch took:  10.830656290054321 s
epoch:  42 , training loss:  0.2900805545449257 , validation loss:  0.2827814847230911 , validation dice:  0.0 , this epoch took:  10.822855234146118 s
epoch:  43 , training loss:  0.28980482506752014 , validation loss:  0.2941089868545532 , validation dice:  0.0 , this epoch took:  10.810872077941895 s
epoch:  44 , training loss:  0.29877376699447633 , validation loss:  0.2802258142828941 , validation dice:  0.0 , this epoch took:  10.774870157241821 s
epoch:  45 , training loss:  0.291715039730072 , validation loss:  0.28365428805351256 , validation dice:  0.0 , this epoch took:  11.148560762405396 s
epoch:  46 , training loss:  0.29425445848703385 , validation loss:  0.28713141024112704 , validation dice:  0.0 , this epoch took:  10.985711812973022 s
