epoch:  0 , training loss:  -0.3654424574151635 , validation loss:  0.025499548241496087 , validation dice:  0.0 , this epoch took:  19.739337921142578 s
epoch:  1 , training loss:  -0.09476416096091271 , validation loss:  -0.05733995571732521 , validation dice:  0.0 , this epoch took:  16.903442859649658 s
epoch:  2 , training loss:  0.07789004865288734 , validation loss:  -0.033437734246253965 , validation dice:  0.0 , this epoch took:  16.891103506088257 s
epoch:  3 , training loss:  3.8661549762487413 , validation loss:  4.223205022811889 , validation dice:  0.0 , this epoch took:  16.916160583496094 s
epoch:  4 , training loss:  2.8525104905366896 , validation loss:  1.124536497592926 , validation dice:  0.0 , this epoch took:  16.29694128036499 s
epoch:  5 , training loss:  0.3050916873142123 , validation loss:  0.15825521886348726 , validation dice:  0.0 , this epoch took:  16.622291564941406 s
epoch:  6 , training loss:  0.10375554932653903 , validation loss:  0.10326541185379029 , validation dice:  0.0 , this epoch took:  17.247066259384155 s
epoch:  7 , training loss:  0.10578931987285614 , validation loss:  0.10691036850214004 , validation dice:  0.0 , this epoch took:  19.114718437194824 s
epoch:  8 , training loss:  0.10396531398594379 , validation loss:  0.104425128698349 , validation dice:  0.0 , this epoch took:  18.067285299301147 s
epoch:  9 , training loss:  0.10529085886478425 , validation loss:  0.10965082794427872 , validation dice:  0.0 , this epoch took:  18.23395085334778 s
epoch:  10 , training loss:  0.10253852513432503 , validation loss:  0.10987688615918159 , validation dice:  0.0 , this epoch took:  17.62691307067871 s
epoch:  11 , training loss:  0.10999037589132786 , validation loss:  0.11385551020503044 , validation dice:  0.0 , this epoch took:  18.57505178451538 s
epoch:  12 , training loss:  0.10683050950616599 , validation loss:  0.10290263131260872 , validation dice:  0.0 , this epoch took:  17.829484224319458 s
epoch:  13 , training loss:  0.10270058935135604 , validation loss:  0.10303482666611671 , validation dice:  0.0 , this epoch took:  17.39174795150757 s
epoch:  14 , training loss:  0.10826463155448436 , validation loss:  0.10111485689878463 , validation dice:  0.0 , this epoch took:  17.60967469215393 s
epoch:  15 , training loss:  0.10765403266996146 , validation loss:  0.10007202863693238 , validation dice:  0.0 , this epoch took:  17.248559951782227 s
epoch:  16 , training loss:  0.10564858219027519 , validation loss:  0.10421771392226219 , validation dice:  0.0 , this epoch took:  17.75621461868286 s
