epoch:  0 , training loss:  -0.18464587649703026 , validation loss:  -0.5326894560456276 , validation dice:  0.589464 , this epoch took:  18.686931133270264 s
epoch:  1 , training loss:  -0.22932632909715175 , validation loss:  -0.41726659059524535 , validation dice:  0.4639237 , this epoch took:  17.648982286453247 s
epoch:  2 , training loss:  -0.28234356227517127 , validation loss:  -0.3886995330452919 , validation dice:  0.4649575 , this epoch took:  17.14776921272278 s
epoch:  3 , training loss:  -0.22903257751464845 , validation loss:  -0.40133041977882383 , validation dice:  0.46692082 , this epoch took:  17.036840677261353 s
epoch:  4 , training loss:  -0.2333120143711567 , validation loss:  0.0629849710315466 , validation dice:  0.0 , this epoch took:  17.25368070602417 s
epoch:  5 , training loss:  0.1584092989116907 , validation loss:  0.1407192975282669 , validation dice:  0.0 , this epoch took:  17.40921711921692 s
epoch:  6 , training loss:  0.1426541001200676 , validation loss:  0.14106348514556885 , validation dice:  0.0 , this epoch took:  17.214121103286743 s
epoch:  7 , training loss:  0.14772385446727276 , validation loss:  0.1414143231511116 , validation dice:  0.0 , this epoch took:  17.222965478897095 s
epoch:  8 , training loss:  0.14700255481898786 , validation loss:  0.1393282836675644 , validation dice:  0.0 , this epoch took:  16.51584029197693 s
epoch:  9 , training loss:  0.1423098753541708 , validation loss:  0.13445644974708557 , validation dice:  0.0 , this epoch took:  16.965481281280518 s
epoch:  10 , training loss:  0.1449770340025425 , validation loss:  0.1385954475402832 , validation dice:  0.0 , this epoch took:  18.56693124771118 s
epoch:  11 , training loss:  0.15682391920685768 , validation loss:  0.14067959129810334 , validation dice:  0.0 , this epoch took:  18.919808387756348 s
epoch:  12 , training loss:  0.1461519923955202 , validation loss:  0.14578661054372788 , validation dice:  0.0 , this epoch took:  17.4827561378479 s
epoch:  13 , training loss:  0.14694893869757653 , validation loss:  0.13454047948122025 , validation dice:  0.0 , this epoch took:  17.696959018707275 s
epoch:  14 , training loss:  0.15078834733366966 , validation loss:  0.1427975706756115 , validation dice:  0.0 , this epoch took:  18.59195327758789 s
epoch:  15 , training loss:  0.14409251268208026 , validation loss:  0.13539315029978752 , validation dice:  0.0 , this epoch took:  17.219921350479126 s
epoch:  16 , training loss:  0.13622514775395395 , validation loss:  0.14589014798402786 , validation dice:  0.0 , this epoch took:  17.333080530166626 s
epoch:  17 , training loss:  0.14862930135428906 , validation loss:  0.14181785255670548 , validation dice:  0.0 , this epoch took:  17.29031491279602 s
epoch:  18 , training loss:  0.1428939010798931 , validation loss:  0.13828548341989516 , validation dice:  0.0 , this epoch took:  17.903696537017822 s
epoch:  19 , training loss:  0.15316741704940795 , validation loss:  0.14338032364845277 , validation dice:  0.0 , this epoch took:  18.765880584716797 s
epoch:  20 , training loss:  0.155076836720109 , validation loss:  0.14045511305332184 , validation dice:  0.0 , this epoch took:  18.23393225669861 s
epoch:  21 , training loss:  0.14614418657124043 , validation loss:  0.1384103149175644 , validation dice:  0.0 , this epoch took:  18.66670823097229 s
epoch:  22 , training loss:  0.15547451081871985 , validation loss:  0.13633667007088662 , validation dice:  0.0 , this epoch took:  17.71867871284485 s
