epoch:  0 , training loss:  0.31282604 , validation loss:  0.30833653 , validation dice:  0.0 , this epoch took:  1087.39355802536 s
epoch:  1 , training loss:  0.30857104 , validation loss:  0.30955493 , validation dice:  0.0 , this epoch took:  1020.8717494010925 s
epoch:  2 , training loss:  0.3085436 , validation loss:  0.3095283 , validation dice:  0.0 , this epoch took:  1101.0892522335052 s
epoch:  3 , training loss:  0.30861408 , validation loss:  0.30842185 , validation dice:  0.0 , this epoch took:  1050.8491320610046 s
epoch:  4 , training loss:  0.30858424 , validation loss:  0.30928117 , validation dice:  0.0 , this epoch took:  1032.6133320331573 s
epoch:  5 , training loss:  0.3086115 , validation loss:  0.30955365 , validation dice:  0.0 , this epoch took:  1035.300226688385 s
epoch:  6 , training loss:  0.308816 , validation loss:  0.30926624 , validation dice:  0.0 , this epoch took:  1099.2030370235443 s
epoch:  7 , training loss:  0.30832034 , validation loss:  0.30938143 , validation dice:  0.0 , this epoch took:  1044.732112646103 s
epoch:  8 , training loss:  0.308429 , validation loss:  0.30922452 , validation dice:  0.0 , this epoch took:  1007.154956817627 s
epoch:  9 , training loss:  0.30858174 , validation loss:  0.30927438 , validation dice:  0.0 , this epoch took:  1045.481425523758 s
epoch:  10 , training loss:  0.30840442 , validation loss:  0.30979908 , validation dice:  0.0 , this epoch took:  1081.2560684680939 s
epoch:  11 , training loss:  0.30846545 , validation loss:  0.30904174 , validation dice:  0.0 , this epoch took:  1070.453242778778 s
epoch:  12 , training loss:  0.30830896 , validation loss:  0.3089846 , validation dice:  0.0 , this epoch took:  1065.7269041538239 s
epoch:  13 , training loss:  0.3083052 , validation loss:  0.3088844 , validation dice:  0.0 , this epoch took:  1024.6813604831696 s
epoch:  14 , training loss:  0.30847588 , validation loss:  0.3092445 , validation dice:  0.0 , this epoch took:  1052.7539818286896 s
epoch:  15 , training loss:  0.30851853 , validation loss:  0.30909148 , validation dice:  0.0 , this epoch took:  1017.941014289856 s
epoch:  16 , training loss:  0.30847582 , validation loss:  0.3084197 , validation dice:  0.0 , this epoch took:  976.1420977115631 s
epoch:  17 , training loss:  0.30865893 , validation loss:  0.3092237 , validation dice:  0.0 , this epoch took:  1067.9893727302551 s
epoch:  18 , training loss:  0.30858254 , validation loss:  0.3093463 , validation dice:  0.0 , this epoch took:  1035.9225401878357 s
epoch:  19 , training loss:  0.30854663 , validation loss:  0.30880275 , validation dice:  0.0 , this epoch took:  1065.6843566894531 s
epoch:  20 , training loss:  0.30865872 , validation loss:  0.30877417 , validation dice:  0.0 , this epoch took:  1119.2919554710388 s
epoch:  21 , training loss:  0.30908582 , validation loss:  0.30909112 , validation dice:  0.0 , this epoch took:  1074.3663682937622 s
epoch:  22 , training loss:  0.30872217 , validation loss:  0.30972022 , validation dice:  0.0 , this epoch took:  1050.7182495594025 s
epoch:  23 , training loss:  0.30871153 , validation loss:  0.30891263 , validation dice:  0.0 , this epoch took:  1087.077119588852 s
epoch:  24 , training loss:  0.30862263 , validation loss:  0.30931053 , validation dice:  0.0 , this epoch took:  1084.030377149582 s
epoch:  25 , training loss:  0.30883285 , validation loss:  0.30938816 , validation dice:  0.0 , this epoch took:  1039.2240676879883 s
epoch:  26 , training loss:  0.30862853 , validation loss:  0.30968642 , validation dice:  0.0 , this epoch took:  1113.2828772068024 s
epoch:  27 , training loss:  0.30888203 , validation loss:  0.3095979 , validation dice:  0.0 , this epoch took:  1090.2613418102264 s
epoch:  28 , training loss:  0.3084557 , validation loss:  0.30941796 , validation dice:  0.0 , this epoch took:  1079.0271685123444 s
epoch:  29 , training loss:  0.30847776 , validation loss:  0.30943322 , validation dice:  0.0 , this epoch took:  1006.3696942329407 s
epoch:  30 , training loss:  0.30877408 , validation loss:  0.30968764 , validation dice:  0.0 , this epoch took:  1053.124012708664 s
epoch:  31 , training loss:  0.3087003 , validation loss:  0.30864972 , validation dice:  0.0 , this epoch took:  1003.6918802261353 s
epoch:  32 , training loss:  0.3086886 , validation loss:  0.30907464 , validation dice:  0.0 , this epoch took:  1076.8038983345032 s
epoch:  33 , training loss:  0.30870783 , validation loss:  0.30931613 , validation dice:  0.0 , this epoch took:  1066.6127996444702 s
epoch:  34 , training loss:  0.30880603 , validation loss:  0.3092843 , validation dice:  0.0 , this epoch took:  1033.382434129715 s
epoch:  35 , training loss:  0.30858287 , validation loss:  0.30954912 , validation dice:  0.0 , this epoch took:  1059.4375948905945 s
epoch:  36 , training loss:  0.308565 , validation loss:  0.30873296 , validation dice:  0.0 , this epoch took:  1046.4905066490173 s
epoch:  37 , training loss:  0.3086061 , validation loss:  0.30965325 , validation dice:  0.0 , this epoch took:  1080.4359240531921 s
epoch:  38 , training loss:  0.30830225 , validation loss:  0.30903453 , validation dice:  0.0 , this epoch took:  978.4572710990906 s
epoch:  39 , training loss:  0.30862764 , validation loss:  0.30965337 , validation dice:  0.0 , this epoch took:  1058.2651753425598 s
epoch:  40 , training loss:  0.30873132 , validation loss:  0.30888432 , validation dice:  0.0 , this epoch took:  1029.6780409812927 s
epoch:  41 , training loss:  0.30849794 , validation loss:  0.30880982 , validation dice:  0.0 , this epoch took:  1068.4380190372467 s
epoch:  42 , training loss:  0.3084912 , validation loss:  0.30946395 , validation dice:  0.0 , this epoch took:  1081.6101868152618 s
epoch:  43 , training loss:  0.30855444 , validation loss:  0.30909067 , validation dice:  0.0 , this epoch took:  1034.5784645080566 s
epoch:  44 , training loss:  0.30843717 , validation loss:  0.30955392 , validation dice:  0.0 , this epoch took:  1068.931545972824 s
epoch:  45 , training loss:  0.30869713 , validation loss:  0.30872154 , validation dice:  0.0 , this epoch took:  1058.2380638122559 s
epoch:  46 , training loss:  0.30836353 , validation loss:  0.30897686 , validation dice:  0.0 , this epoch took:  946.1074001789093 s
epoch:  47 , training loss:  0.30873862 , validation loss:  0.30888337 , validation dice:  0.0 , this epoch took:  1010.38893866539 s
epoch:  48 , training loss:  0.30854064 , validation loss:  0.30958232 , validation dice:  0.0 , this epoch took:  1022.9716746807098 s
epoch:  49 , training loss:  0.3087326 , validation loss:  0.30922198 , validation dice:  0.0 , this epoch took:  1102.5891318321228 s
epoch:  50 , training loss:  0.30847466 , validation loss:  0.30885983 , validation dice:  0.0 , this epoch took:  1027.5134055614471 s
epoch:  51 , training loss:  0.30833328 , validation loss:  0.3097072 , validation dice:  0.0 , this epoch took:  1055.7849757671356 s
epoch:  52 , training loss:  0.3083991 , validation loss:  0.30982777 , validation dice:  0.0 , this epoch took:  976.7370128631592 s
epoch:  53 , training loss:  0.308298 , validation loss:  0.30900216 , validation dice:  0.0 , this epoch took:  994.5784034729004 s
epoch:  54 , training loss:  0.3086581 , validation loss:  0.3092158 , validation dice:  0.0 , this epoch took:  1074.2882359027863 s
epoch:  55 , training loss:  0.3082249 , validation loss:  0.30962583 , validation dice:  1.2958403e-06 , this epoch took:  1034.6458513736725 s
epoch:  56 , training loss:  0.30843928 , validation loss:  0.30942425 , validation dice:  0.0 , this epoch took:  975.7120153903961 s
epoch:  57 , training loss:  0.308153 , validation loss:  0.30961233 , validation dice:  0.0 , this epoch took:  964.8670175075531 s
epoch:  58 , training loss:  0.3087125 , validation loss:  0.30909085 , validation dice:  0.0 , this epoch took:  1091.9589791297913 s
epoch:  59 , training loss:  0.30837235 , validation loss:  0.30897248 , validation dice:  0.0 , this epoch took:  1024.9148995876312 s
epoch:  60 , training loss:  0.3085775 , validation loss:  0.30888784 , validation dice:  0.0 , this epoch took:  954.466543674469 s
epoch:  61 , training loss:  0.30853394 , validation loss:  0.30960923 , validation dice:  0.0 , this epoch took:  1013.0644726753235 s
epoch:  62 , training loss:  0.30863783 , validation loss:  0.3093058 , validation dice:  0.0 , this epoch took:  975.6002104282379 s
epoch:  63 , training loss:  0.30869058 , validation loss:  0.30863738 , validation dice:  0.0 , this epoch took:  1075.3904438018799 s
epoch:  64 , training loss:  0.30842736 , validation loss:  0.30942526 , validation dice:  0.0 , this epoch took:  1033.704917192459 s
epoch:  65 , training loss:  0.30864033 , validation loss:  0.3092147 , validation dice:  0.0 , this epoch took:  1016.2512805461884 s
epoch:  66 , training loss:  0.30836773 , validation loss:  0.30879393 , validation dice:  0.0 , this epoch took:  1033.175396680832 s
epoch:  67 , training loss:  0.30825803 , validation loss:  0.3087555 , validation dice:  0.0 , this epoch took:  1012.6912767887115 s
epoch:  68 , training loss:  0.30858058 , validation loss:  0.30910966 , validation dice:  0.0 , this epoch took:  993.0353095531464 s
epoch:  69 , training loss:  0.30846936 , validation loss:  0.30865732 , validation dice:  0.0 , this epoch took:  982.9953565597534 s
epoch:  70 , training loss:  0.30855373 , validation loss:  0.30936018 , validation dice:  0.0 , this epoch took:  1047.8893144130707 s
epoch:  71 , training loss:  0.308464 , validation loss:  0.3088307 , validation dice:  0.0 , this epoch took:  1023.4491024017334 s
epoch:  72 , training loss:  0.30836383 , validation loss:  0.30898565 , validation dice:  1.0078613e-06 , this epoch took:  1061.9815373420715 s
epoch:  73 , training loss:  0.30879587 , validation loss:  0.30936855 , validation dice:  0.0 , this epoch took:  1046.626737356186 s
epoch:  74 , training loss:  0.30874714 , validation loss:  0.30962813 , validation dice:  0.0 , this epoch took:  1069.5867030620575 s
epoch:  75 , training loss:  0.30841208 , validation loss:  0.3088234 , validation dice:  0.0 , this epoch took:  1049.6460437774658 s
epoch:  76 , training loss:  0.3088789 , validation loss:  0.30892658 , validation dice:  0.0 , this epoch took:  1042.9276843070984 s
epoch:  77 , training loss:  0.3085485 , validation loss:  0.30871397 , validation dice:  0.0 , this epoch took:  1088.2380475997925 s
epoch:  78 , training loss:  0.30845186 , validation loss:  0.30928123 , validation dice:  0.0 , this epoch took:  1033.4444177150726 s
epoch:  79 , training loss:  0.30867168 , validation loss:  0.3091554 , validation dice:  0.0 , this epoch took:  1062.8442528247833 s
epoch:  80 , training loss:  0.30865705 , validation loss:  0.3090436 , validation dice:  0.0 , this epoch took:  1053.2547068595886 s
epoch:  81 , training loss:  0.30864257 , validation loss:  0.30881202 , validation dice:  0.0 , this epoch took:  1018.5029489994049 s
epoch:  82 , training loss:  0.30852222 , validation loss:  0.31013152 , validation dice:  0.0 , this epoch took:  1057.3723912239075 s
epoch:  83 , training loss:  0.3086182 , validation loss:  0.30996028 , validation dice:  0.0 , this epoch took:  1006.9555897712708 s
epoch:  84 , training loss:  0.30851611 , validation loss:  0.30927923 , validation dice:  0.0 , this epoch took:  1023.5564339160919 s
epoch:  85 , training loss:  0.30857673 , validation loss:  0.3088703 , validation dice:  0.0 , this epoch took:  1006.4268350601196 s
epoch:  86 , training loss:  0.3085541 , validation loss:  0.3093946 , validation dice:  0.0 , this epoch took:  1051.4964175224304 s
epoch:  87 , training loss:  0.3087522 , validation loss:  0.3092595 , validation dice:  0.0 , this epoch took:  1025.3061184883118 s
epoch:  88 , training loss:  0.3085018 , validation loss:  0.30894148 , validation dice:  0.0 , this epoch took:  1035.068042755127 s
epoch:  89 , training loss:  0.30829975 , validation loss:  0.30938974 , validation dice:  0.0 , this epoch took:  1024.7151520252228 s
epoch:  90 , training loss:  0.30852076 , validation loss:  0.30943343 , validation dice:  0.0 , this epoch took:  1024.7899885177612 s
epoch:  91 , training loss:  0.30838385 , validation loss:  0.30913848 , validation dice:  0.0 , this epoch took:  980.9424903392792 s
epoch:  92 , training loss:  0.30833638 , validation loss:  0.30906582 , validation dice:  0.0 , this epoch took:  1033.2816324234009 s
epoch:  93 , training loss:  0.3085072 , validation loss:  0.30924058 , validation dice:  0.0 , this epoch took:  1062.8890891075134 s
epoch:  94 , training loss:  0.3081907 , validation loss:  0.30852962 , validation dice:  0.0 , this epoch took:  996.4552962779999 s
epoch:  95 , training loss:  0.30841058 , validation loss:  0.30912682 , validation dice:  0.0 , this epoch took:  1004.7417228221893 s
epoch:  96 , training loss:  0.3087588 , validation loss:  0.30919784 , validation dice:  0.0 , this epoch took:  1034.3680403232574 s
epoch:  97 , training loss:  0.30853853 , validation loss:  0.3094369 , validation dice:  0.0 , this epoch took:  1027.5984547138214 s
epoch:  98 , training loss:  0.30867857 , validation loss:  0.30907995 , validation dice:  0.0 , this epoch took:  1075.2207131385803 s
epoch:  99 , training loss:  0.30872187 , validation loss:  0.30970633 , validation dice:  0.0 , this epoch took:  1041.961496591568 s
epoch:  100 , training loss:  0.30847353 , validation loss:  0.30941442 , validation dice:  0.0 , this epoch took:  1056.6928901672363 s
epoch:  101 , training loss:  0.3085484 , validation loss:  0.30966875 , validation dice:  0.0 , this epoch took:  1055.686593055725 s
epoch:  102 , training loss:  0.30874383 , validation loss:  0.3093773 , validation dice:  0.0 , this epoch took:  1051.1237106323242 s
epoch:  103 , training loss:  0.30831647 , validation loss:  0.30922028 , validation dice:  0.0 , this epoch took:  1031.609146118164 s
epoch:  104 , training loss:  0.30854326 , validation loss:  0.30936664 , validation dice:  0.0 , this epoch took:  1051.4635698795319 s
epoch:  105 , training loss:  0.30862224 , validation loss:  0.30869645 , validation dice:  0.0 , this epoch took:  993.8141252994537 s
epoch:  106 , training loss:  0.30867127 , validation loss:  0.30921766 , validation dice:  0.0 , this epoch took:  1011.2000102996826 s
epoch:  107 , training loss:  0.30840516 , validation loss:  0.30901626 , validation dice:  0.0 , this epoch took:  1077.4046614170074 s
epoch:  108 , training loss:  0.30846986 , validation loss:  0.30909812 , validation dice:  0.0 , this epoch took:  1060.1432065963745 s
epoch:  109 , training loss:  0.30838567 , validation loss:  0.31012174 , validation dice:  0.0 , this epoch took:  1040.4686512947083 s
epoch:  110 , training loss:  0.3088295 , validation loss:  0.30869418 , validation dice:  0.0 , this epoch took:  1066.9401533603668 s
epoch:  111 , training loss:  0.3085226 , validation loss:  0.30906263 , validation dice:  0.0 , this epoch took:  1013.8330564498901 s
epoch:  112 , training loss:  0.30847284 , validation loss:  0.3092471 , validation dice:  0.0 , this epoch took:  1000.6526823043823 s
epoch:  113 , training loss:  0.30852562 , validation loss:  0.30892327 , validation dice:  0.0 , this epoch took:  1067.4567921161652 s
epoch:  114 , training loss:  0.30891678 , validation loss:  0.308899 , validation dice:  0.0 , this epoch took:  1079.9496266841888 s
epoch:  115 , training loss:  0.3086705 , validation loss:  0.30848026 , validation dice:  0.0 , this epoch took:  1063.7376418113708 s
epoch:  116 , training loss:  0.30893365 , validation loss:  0.30912104 , validation dice:  0.0 , this epoch took:  1019.2493200302124 s
epoch:  117 , training loss:  0.30889386 , validation loss:  0.30895102 , validation dice:  0.0 , this epoch took:  1067.2878561019897 s
epoch:  118 , training loss:  0.30864426 , validation loss:  0.30901325 , validation dice:  0.0 , this epoch took:  1102.0509510040283 s
epoch:  119 , training loss:  0.3086967 , validation loss:  0.309673 , validation dice:  0.0 , this epoch took:  980.3945417404175 s
epoch:  120 , training loss:  0.30851313 , validation loss:  0.30870622 , validation dice:  0.0 , this epoch took:  1061.2838821411133 s
epoch:  121 , training loss:  0.30850592 , validation loss:  0.30917642 , validation dice:  0.0 , this epoch took:  1123.9493606090546 s
epoch:  122 , training loss:  0.30852452 , validation loss:  0.30942562 , validation dice:  0.0 , this epoch took:  1057.204711675644 s
epoch:  123 , training loss:  0.30869555 , validation loss:  0.30885127 , validation dice:  0.0 , this epoch took:  991.2928397655487 s
epoch:  124 , training loss:  0.30856082 , validation loss:  0.30934116 , validation dice:  0.0 , this epoch took:  1057.849774837494 s
epoch:  125 , training loss:  0.30886096 , validation loss:  0.3095889 , validation dice:  1.339495e-06 , this epoch took:  1042.1587677001953 s
epoch:  126 , training loss:  0.30858856 , validation loss:  0.30946824 , validation dice:  0.0 , this epoch took:  1011.4479637145996 s
epoch:  127 , training loss:  0.30816624 , validation loss:  0.30940378 , validation dice:  0.0 , this epoch took:  1020.2717406749725 s
epoch:  128 , training loss:  0.30858052 , validation loss:  0.3093377 , validation dice:  0.0 , this epoch took:  1062.2086534500122 s
epoch:  129 , training loss:  0.30862975 , validation loss:  0.3089478 , validation dice:  0.0 , this epoch took:  1064.334534406662 s
epoch:  130 , training loss:  0.30862385 , validation loss:  0.30924216 , validation dice:  0.0 , this epoch took:  1014.163556098938 s
epoch:  131 , training loss:  0.3084853 , validation loss:  0.30893508 , validation dice:  0.0 , this epoch took:  992.0728216171265 s
epoch:  132 , training loss:  0.30860877 , validation loss:  0.30891967 , validation dice:  0.0 , this epoch took:  1033.6910021305084 s
epoch:  133 , training loss:  0.30878925 , validation loss:  0.30885738 , validation dice:  0.0 , this epoch took:  1105.2344205379486 s
epoch:  134 , training loss:  0.3087069 , validation loss:  0.30875555 , validation dice:  0.0 , this epoch took:  991.791154384613 s
epoch:  135 , training loss:  0.3086259 , validation loss:  0.30952907 , validation dice:  0.0 , this epoch took:  1054.6538255214691 s
epoch:  136 , training loss:  0.30870777 , validation loss:  0.30876768 , validation dice:  0.0 , this epoch took:  1085.2192299365997 s
epoch:  137 , training loss:  0.30851856 , validation loss:  0.30944964 , validation dice:  0.0 , this epoch took:  1053.7056884765625 s
epoch:  138 , training loss:  0.30864447 , validation loss:  0.30958638 , validation dice:  0.0 , this epoch took:  1072.145327091217 s
epoch:  139 , training loss:  0.30855495 , validation loss:  0.30897632 , validation dice:  0.0 , this epoch took:  994.215612411499 s
epoch:  140 , training loss:  0.30886537 , validation loss:  0.30913153 , validation dice:  0.0 , this epoch took:  1069.8647103309631 s
epoch:  141 , training loss:  0.30836248 , validation loss:  0.30911925 , validation dice:  0.0 , this epoch took:  966.8915944099426 s
epoch:  142 , training loss:  0.30867332 , validation loss:  0.3089362 , validation dice:  0.0 , this epoch took:  1038.9526598453522 s
epoch:  143 , training loss:  0.30866545 , validation loss:  0.3093961 , validation dice:  0.0 , this epoch took:  1062.8245859146118 s
epoch:  144 , training loss:  0.30868414 , validation loss:  0.30920193 , validation dice:  0.0 , this epoch took:  1053.4949791431427 s
epoch:  145 , training loss:  0.30831385 , validation loss:  0.30935007 , validation dice:  0.0 , this epoch took:  995.5144534111023 s
epoch:  146 , training loss:  0.30870226 , validation loss:  0.30891702 , validation dice:  0.0 , this epoch took:  1045.9912950992584 s
epoch:  147 , training loss:  0.30870008 , validation loss:  0.30953535 , validation dice:  0.0 , this epoch took:  1049.368318080902 s
epoch:  148 , training loss:  0.30870625 , validation loss:  0.3096512 , validation dice:  0.0 , this epoch took:  1036.4547073841095 s
epoch:  149 , training loss:  0.3086341 , validation loss:  0.30936623 , validation dice:  0.0 , this epoch took:  1040.3822810649872 s
epoch:  150 , training loss:  0.30863962 , validation loss:  0.30910632 , validation dice:  0.0 , this epoch took:  989.6790766716003 s
epoch:  151 , training loss:  0.30902612 , validation loss:  0.30897534 , validation dice:  0.0 , this epoch took:  1045.766888141632 s
epoch:  152 , training loss:  0.30881125 , validation loss:  0.309182 , validation dice:  0.0 , this epoch took:  1109.297875404358 s
epoch:  153 , training loss:  0.3085985 , validation loss:  0.30910337 , validation dice:  0.0 , this epoch took:  1069.9529213905334 s
