epoch:  0 , training loss:  0.02328494768217206 , validation loss:  0.023513155188411475 , validation dice:  0.0 , this epoch took:  1027.5980973243713 s
epoch:  1 , training loss:  0.018468815113417806 , validation loss:  0.022667013332247733 , validation dice:  0.0 , this epoch took:  1063.245278596878 s
epoch:  2 , training loss:  0.017528561068698763 , validation loss:  0.021795280436053874 , validation dice:  0.0 , this epoch took:  968.0152246952057 s
epoch:  3 , training loss:  0.014442823942750692 , validation loss:  0.01093703498132527 , validation dice:  0.0 , this epoch took:  969.6492877006531 s
epoch:  4 , training loss:  0.005382345108315348 , validation loss:  -0.013154621683061123 , validation dice:  0.011851476 , this epoch took:  1022.0778648853302 s
epoch:  5 , training loss:  0.0027811005674302576 , validation loss:  -0.009222734831273555 , validation dice:  0.0 , this epoch took:  1022.1928398609161 s
epoch:  6 , training loss:  -0.0013924880120903254 , validation loss:  0.024382633138448 , validation dice:  0.0 , this epoch took:  1042.3095848560333 s
epoch:  7 , training loss:  0.01662557029724121 , validation loss:  0.023502797335386277 , validation dice:  0.0 , this epoch took:  1086.4595234394073 s
epoch:  8 , training loss:  0.013722359536215662 , validation loss:  0.01612999239936471 , validation dice:  0.0 , this epoch took:  994.6397550106049 s
epoch:  9 , training loss:  0.010705303816124797 , validation loss:  0.009512513782829047 , validation dice:  0.0 , this epoch took:  1018.6524820327759 s
epoch:  10 , training loss:  0.009400378486141562 , validation loss:  0.007763010282069445 , validation dice:  0.0 , this epoch took:  1074.027925491333 s
epoch:  11 , training loss:  0.0021406443780288102 , validation loss:  -0.012561058141291142 , validation dice:  0.027386833 , this epoch took:  1095.6851420402527 s
epoch:  12 , training loss:  0.000950132479891181 , validation loss:  -0.002279804367572069 , validation dice:  0.0 , this epoch took:  1006.672580242157 s
epoch:  13 , training loss:  0.006606392299479922 , validation loss:  -0.05287671370431781 , validation dice:  0.11128719 , this epoch took:  1045.271996974945 s
epoch:  14 , training loss:  0.01177392502548173 , validation loss:  0.008183971550315618 , validation dice:  0.0 , this epoch took:  1047.6784181594849 s
epoch:  15 , training loss:  0.006747717081569135 , validation loss:  -0.005372972153127193 , validation dice:  0.0 , this epoch took:  1008.7523217201233 s
epoch:  16 , training loss:  -0.0005244736466556788 , validation loss:  -0.03820765521377325 , validation dice:  0.076492116 , this epoch took:  1032.5398728847504 s
epoch:  17 , training loss:  0.0010134819019585847 , validation loss:  0.019187771268188953 , validation dice:  0.0 , this epoch took:  1039.8584077358246 s
epoch:  18 , training loss:  0.005024148177355528 , validation loss:  0.018224593736231327 , validation dice:  0.0 , this epoch took:  1002.2987957000732 s
epoch:  19 , training loss:  0.013286443422548472 , validation loss:  -0.005014241971075535 , validation dice:  0.0 , this epoch took:  1005.164044380188 s
epoch:  20 , training loss:  -0.0028707721009850504 , validation loss:  -0.03225804628804326 , validation dice:  0.10735246 , this epoch took:  1004.4682862758636 s
epoch:  21 , training loss:  -0.001004948627203703 , validation loss:  0.006795490849763155 , validation dice:  0.043630175 , this epoch took:  1044.705980539322 s
epoch:  22 , training loss:  0.002622064641676843 , validation loss:  -0.0007761315908282995 , validation dice:  0.0014016575 , this epoch took:  1028.7255692481995 s
epoch:  23 , training loss:  -0.015891498833894728 , validation loss:  -0.02316234100610018 , validation dice:  0.0609515 , this epoch took:  1031.9858629703522 s
epoch:  24 , training loss:  0.002552294321358204 , validation loss:  -0.028465181002393366 , validation dice:  0.07703871 , this epoch took:  1012.9152202606201 s
epoch:  25 , training loss:  -0.01340691877156496 , validation loss:  -0.01912407560274005 , validation dice:  0.051016137 , this epoch took:  1010.8251571655273 s
epoch:  26 , training loss:  0.007989505972713232 , validation loss:  0.01883015169762075 , validation dice:  0.0 , this epoch took:  1011.7188818454742 s
epoch:  27 , training loss:  -0.0034716877713799475 , validation loss:  -0.011609836034476757 , validation dice:  0.08308086 , this epoch took:  1045.155047416687 s
epoch:  28 , training loss:  -0.00026602540351450445 , validation loss:  0.01914045562967658 , validation dice:  0.0 , this epoch took:  1051.3165740966797 s
epoch:  29 , training loss:  0.006280933276750147 , validation loss:  -0.011244950108230114 , validation dice:  0.08711628 , this epoch took:  1051.7838335037231 s
epoch:  30 , training loss:  0.004703382173553109 , validation loss:  0.008391986694186926 , validation dice:  0.0 , this epoch took:  978.9998545646667 s
epoch:  31 , training loss:  0.008469082502648235 , validation loss:  0.004907753951847553 , validation dice:  0.0 , this epoch took:  1049.0327098369598 s
epoch:  32 , training loss:  -0.009003270531073212 , validation loss:  0.024973086304962634 , validation dice:  0.018111628 , this epoch took:  1025.1527602672577 s
epoch:  33 , training loss:  0.008079691771417857 , validation loss:  -0.017733053490519523 , validation dice:  0.0 , this epoch took:  1019.8232679367065 s
epoch:  34 , training loss:  0.009862167879007757 , validation loss:  0.008260354045778512 , validation dice:  0.0 , this epoch took:  1024.9480440616608 s
epoch:  35 , training loss:  0.010244755889289081 , validation loss:  0.0080908271856606 , validation dice:  0.0 , this epoch took:  988.3765344619751 s
epoch:  36 , training loss:  0.009604876263067125 , validation loss:  0.015405232198536395 , validation dice:  0.0 , this epoch took:  1019.3731112480164 s
epoch:  37 , training loss:  -0.0002472895439714193 , validation loss:  -0.015137264654040337 , validation dice:  0.07531545 , this epoch took:  1054.3420011997223 s
epoch:  38 , training loss:  -0.0003267134204506874 , validation loss:  0.01645778146572411 , validation dice:  0.0 , this epoch took:  974.189352273941 s
epoch:  39 , training loss:  0.0015505753941833973 , validation loss:  -0.012404920943081378 , validation dice:  0.0 , this epoch took:  1046.0064573287964 s
epoch:  40 , training loss:  -0.008664899133145809 , validation loss:  -0.008006657734513282 , validation dice:  0.0 , this epoch took:  1081.7252690792084 s
epoch:  41 , training loss:  -0.0018039834778755903 , validation loss:  -0.022702551297843456 , validation dice:  0.0 , this epoch took:  1121.4083323478699 s
epoch:  42 , training loss:  -0.003456427462399006 , validation loss:  0.010651304349303246 , validation dice:  0.003978423 , this epoch took:  1094.517958164215 s
epoch:  43 , training loss:  -0.004289789011236281 , validation loss:  -0.015172000322490931 , validation dice:  0.09061388 , this epoch took:  1089.1538803577423 s
epoch:  44 , training loss:  -0.033262342686764895 , validation loss:  -0.060883227884769436 , validation dice:  0.13493617 , this epoch took:  1126.9514491558075 s
epoch:  45 , training loss:  0.00970402432139963 , validation loss:  0.018951171990484 , validation dice:  0.0 , this epoch took:  1038.594008922577 s
epoch:  46 , training loss:  0.0063139935694634915 , validation loss:  0.010299152806401252 , validation dice:  0.0 , this epoch took:  1080.995954990387 s
epoch:  47 , training loss:  0.0068861784115433694 , validation loss:  0.0035704746004194023 , validation dice:  0.0 , this epoch took:  1034.599854707718 s
epoch:  48 , training loss:  0.0064012390132993455 , validation loss:  0.003402442540973425 , validation dice:  0.0 , this epoch took:  1091.6695094108582 s
epoch:  49 , training loss:  -0.002541221445426345 , validation loss:  -0.03078425521031022 , validation dice:  0.058626402 , this epoch took:  1052.452214717865 s
epoch:  50 , training loss:  0.006455987801775336 , validation loss:  0.013348660059273243 , validation dice:  0.0 , this epoch took:  1015.8383536338806 s
