epoch:  0 , training loss:  0.3138516 , validation loss:  0.308267 , validation dice:  0.0 , this epoch took:  1064.9453332424164 s
epoch:  1 , training loss:  0.30878758 , validation loss:  0.3082011 , validation dice:  0.0 , this epoch took:  1039.6815416812897 s
epoch:  2 , training loss:  0.30878565 , validation loss:  0.3081553 , validation dice:  0.0 , this epoch took:  1030.533222913742 s
epoch:  3 , training loss:  0.30877134 , validation loss:  0.3085575 , validation dice:  0.0 , this epoch took:  1013.6534285545349 s
epoch:  4 , training loss:  0.30841696 , validation loss:  0.30841884 , validation dice:  0.0 , this epoch took:  1092.263430595398 s
epoch:  5 , training loss:  0.3088651 , validation loss:  0.30829462 , validation dice:  0.0 , this epoch took:  1043.2024459838867 s
epoch:  6 , training loss:  0.30882233 , validation loss:  0.30841565 , validation dice:  0.0 , this epoch took:  1061.155338048935 s
epoch:  7 , training loss:  0.30896053 , validation loss:  0.3084213 , validation dice:  0.0 , this epoch took:  1078.6243064403534 s
epoch:  8 , training loss:  0.30879346 , validation loss:  0.30799234 , validation dice:  0.0 , this epoch took:  981.2089619636536 s
epoch:  9 , training loss:  0.3091199 , validation loss:  0.30852613 , validation dice:  0.0 , this epoch took:  1039.5287067890167 s
epoch:  10 , training loss:  0.30857942 , validation loss:  0.30821258 , validation dice:  0.0 , this epoch took:  1053.2734265327454 s
epoch:  11 , training loss:  0.30859837 , validation loss:  0.30811095 , validation dice:  0.0 , this epoch took:  1009.1929516792297 s
epoch:  12 , training loss:  0.30864918 , validation loss:  0.3084012 , validation dice:  0.0 , this epoch took:  1000.4401366710663 s
epoch:  13 , training loss:  0.30868584 , validation loss:  0.30831873 , validation dice:  0.0 , this epoch took:  1010.6585085391998 s
epoch:  14 , training loss:  0.3088205 , validation loss:  0.3080408 , validation dice:  0.0 , this epoch took:  1023.3225371837616 s
epoch:  15 , training loss:  0.30864704 , validation loss:  0.3084531 , validation dice:  0.0 , this epoch took:  1072.9910867214203 s
