epoch:  0 , training loss:  0.02076928281353321 , validation loss:  0.019873414975591003 , validation dice:  0.0 , this epoch took:  1057.253170490265 s
epoch:  1 , training loss:  0.015378046194091438 , validation loss:  0.01659419247880578 , validation dice:  0.0 , this epoch took:  1047.5751736164093 s
epoch:  2 , training loss:  0.013277759194374085 , validation loss:  0.017801001518964767 , validation dice:  0.0 , this epoch took:  1015.2408180236816 s
epoch:  3 , training loss:  0.013492855872027577 , validation loss:  0.014905517436563969 , validation dice:  0.0 , this epoch took:  1036.4280421733856 s
epoch:  4 , training loss:  0.009188457547686994 , validation loss:  0.019207763578742744 , validation dice:  0.0 , this epoch took:  1068.0870614051819 s
epoch:  5 , training loss:  0.007457006841897964 , validation loss:  0.0268596725538373 , validation dice:  0.0 , this epoch took:  1051.7464690208435 s
epoch:  6 , training loss:  0.0011887695733457805 , validation loss:  0.028486208319664003 , validation dice:  0.0 , this epoch took:  1004.2665207386017 s
epoch:  7 , training loss:  0.009860694339498878 , validation loss:  0.015053522326052188 , validation dice:  0.0 , this epoch took:  1017.6987814903259 s
epoch:  8 , training loss:  0.013874678760766984 , validation loss:  0.01896451637148857 , validation dice:  0.0 , this epoch took:  1014.0932385921478 s
epoch:  9 , training loss:  0.004374466314911843 , validation loss:  0.009824803322553635 , validation dice:  0.04966393 , this epoch took:  1066.0912730693817 s
epoch:  10 , training loss:  -0.0037111420249566437 , validation loss:  -0.014431176148355008 , validation dice:  0.07600898 , this epoch took:  1032.7980253696442 s
epoch:  11 , training loss:  0.004677033556625247 , validation loss:  0.015024466393515467 , validation dice:  0.0 , this epoch took:  1041.4405255317688 s
epoch:  12 , training loss:  0.011110592011362315 , validation loss:  0.03229403428733349 , validation dice:  0.0 , this epoch took:  1007.1548755168915 s
epoch:  13 , training loss:  0.010114776626229286 , validation loss:  0.012533638142049313 , validation dice:  0.0 , this epoch took:  1025.7133452892303 s
epoch:  14 , training loss:  0.008796947569586336 , validation loss:  0.006470244191586971 , validation dice:  0.0 , this epoch took:  1048.6173737049103 s
epoch:  15 , training loss:  0.008182153085246682 , validation loss:  0.00790848333388567 , validation dice:  0.0 , this epoch took:  1050.2805783748627 s
epoch:  16 , training loss:  0.009001189939677716 , validation loss:  0.01743412721902132 , validation dice:  0.0 , this epoch took:  1052.9866247177124 s
epoch:  17 , training loss:  0.0061553524499759074 , validation loss:  0.011369334775954485 , validation dice:  0.0 , this epoch took:  979.5902836322784 s
epoch:  18 , training loss:  0.0013418006603606045 , validation loss:  -0.0026140954159200192 , validation dice:  0.0 , this epoch took:  1053.9021208286285 s
epoch:  19 , training loss:  0.002817639824934304 , validation loss:  -0.03718780318275094 , validation dice:  0.09612956 , this epoch took:  1076.1597690582275 s
epoch:  20 , training loss:  0.0004398288894444704 , validation loss:  -0.014038445800542832 , validation dice:  0.0 , this epoch took:  990.2421534061432 s
epoch:  21 , training loss:  -0.006765915566589683 , validation loss:  0.004025601763278246 , validation dice:  0.0 , this epoch took:  1011.5219249725342 s
epoch:  22 , training loss:  -0.005683699238114059 , validation loss:  0.0015147320553660392 , validation dice:  0.0 , this epoch took:  987.841064453125 s
epoch:  23 , training loss:  -0.000603918494656682 , validation loss:  -0.013565485142171383 , validation dice:  0.0 , this epoch took:  1016.4515790939331 s
epoch:  24 , training loss:  -0.002834665121510625 , validation loss:  -0.004137565717101097 , validation dice:  0.0 , this epoch took:  1061.273958683014 s
epoch:  25 , training loss:  -0.014843373396899551 , validation loss:  -0.01068755391985178 , validation dice:  0.074759625 , this epoch took:  1052.722360610962 s
epoch:  26 , training loss:  -0.013021535052917898 , validation loss:  0.012107718847692012 , validation dice:  0.0 , this epoch took:  1048.0840952396393 s
epoch:  27 , training loss:  -0.011242266468703747 , validation loss:  -0.005038188900798559 , validation dice:  0.028837832 , this epoch took:  1113.5890409946442 s
epoch:  28 , training loss:  -0.015053556870669126 , validation loss:  0.0017700672894716263 , validation dice:  0.0 , this epoch took:  988.5884535312653 s
epoch:  29 , training loss:  -0.016494862612336875 , validation loss:  -0.01395509798079729 , validation dice:  0.08438564 , this epoch took:  1052.2909662723541 s
epoch:  30 , training loss:  0.014883347160182893 , validation loss:  0.016223033983260395 , validation dice:  0.0 , this epoch took:  1070.5435523986816 s
epoch:  31 , training loss:  0.009631436822935938 , validation loss:  0.0193066637031734 , validation dice:  0.0 , this epoch took:  1127.6629807949066 s
epoch:  32 , training loss:  0.010566744877025485 , validation loss:  0.011753751281648874 , validation dice:  0.0 , this epoch took:  1054.2696743011475 s
epoch:  33 , training loss:  0.008892974745482207 , validation loss:  0.026407258417457342 , validation dice:  0.0 , this epoch took:  1020.022394657135 s
epoch:  34 , training loss:  0.005787962339818478 , validation loss:  0.013158021848648787 , validation dice:  0.0 , this epoch took:  1017.2803342342377 s
epoch:  35 , training loss:  0.0071400563605129716 , validation loss:  0.01983247447758913 , validation dice:  0.0 , this epoch took:  1007.9733166694641 s
epoch:  36 , training loss:  0.004537891615182161 , validation loss:  0.013338721841573715 , validation dice:  0.0 , this epoch took:  1041.6940870285034 s
epoch:  37 , training loss:  0.009729790646582841 , validation loss:  0.021324145384132864 , validation dice:  0.0 , this epoch took:  1048.9522223472595 s
epoch:  38 , training loss:  0.005771158436313271 , validation loss:  0.006443805545568466 , validation dice:  0.0 , this epoch took:  1056.8957331180573 s
epoch:  39 , training loss:  0.010264897585846484 , validation loss:  0.016036545429378747 , validation dice:  0.0 , this epoch took:  1025.29957985878 s
epoch:  40 , training loss:  -0.004769077852368355 , validation loss:  -0.0010261612385511398 , validation dice:  0.0006546678 , this epoch took:  980.1636707782745 s
