epoch:  0 , training loss:  0.571099 , validation loss:  0.5603888 , validation dice:  0.0 , this epoch took:  58.81044363975525 s
epoch:  1 , training loss:  0.5632927 , validation loss:  0.5603763 , validation dice:  0.0 , this epoch took:  52.31657314300537 s
epoch:  2 , training loss:  0.56416345 , validation loss:  0.5604066 , validation dice:  0.0 , this epoch took:  52.42701172828674 s
epoch:  3 , training loss:  0.5637602 , validation loss:  0.56139547 , validation dice:  0.0 , this epoch took:  55.3636372089386 s
epoch:  4 , training loss:  0.56438 , validation loss:  0.5605182 , validation dice:  0.0 , this epoch took:  55.25033140182495 s
epoch:  5 , training loss:  0.56464565 , validation loss:  0.5603146 , validation dice:  0.0 , this epoch took:  51.68136286735535 s
epoch:  6 , training loss:  0.56392395 , validation loss:  0.5611359 , validation dice:  0.0 , this epoch took:  50.79037690162659 s
epoch:  7 , training loss:  0.56409216 , validation loss:  0.56080604 , validation dice:  0.0 , this epoch took:  53.47702479362488 s
epoch:  8 , training loss:  0.56252384 , validation loss:  0.56116086 , validation dice:  0.0 , this epoch took:  53.93839359283447 s
epoch:  9 , training loss:  0.563216 , validation loss:  0.56054384 , validation dice:  0.0 , this epoch took:  55.76231288909912 s
epoch:  10 , training loss:  0.5637541 , validation loss:  0.5604693 , validation dice:  0.0 , this epoch took:  51.73455786705017 s
epoch:  11 , training loss:  0.5637734 , validation loss:  0.5596678 , validation dice:  0.0 , this epoch took:  57.75397849082947 s
epoch:  12 , training loss:  0.56391996 , validation loss:  0.56091034 , validation dice:  0.0 , this epoch took:  53.620176553726196 s
epoch:  13 , training loss:  0.56483257 , validation loss:  0.5608237 , validation dice:  0.0 , this epoch took:  53.5203754901886 s
epoch:  14 , training loss:  0.56369287 , validation loss:  0.56044245 , validation dice:  0.0 , this epoch took:  54.695093870162964 s
epoch:  15 , training loss:  0.56484354 , validation loss:  0.56075525 , validation dice:  0.0 , this epoch took:  54.80134987831116 s
epoch:  16 , training loss:  0.56336564 , validation loss:  0.5615674 , validation dice:  0.0 , this epoch took:  54.30218553543091 s
epoch:  17 , training loss:  0.5636114 , validation loss:  0.56104654 , validation dice:  0.0 , this epoch took:  53.4825701713562 s
epoch:  18 , training loss:  0.56374973 , validation loss:  0.56052417 , validation dice:  0.0 , this epoch took:  56.01662230491638 s
epoch:  19 , training loss:  0.5643682 , validation loss:  0.56094396 , validation dice:  0.0 , this epoch took:  56.07146453857422 s
epoch:  20 , training loss:  0.564566 , validation loss:  0.5610622 , validation dice:  0.0 , this epoch took:  55.83516454696655 s
epoch:  21 , training loss:  0.5650126 , validation loss:  0.561376 , validation dice:  0.0 , this epoch took:  53.65924859046936 s
epoch:  22 , training loss:  0.56375605 , validation loss:  0.56099486 , validation dice:  0.0 , this epoch took:  52.966177463531494 s
epoch:  23 , training loss:  0.5646029 , validation loss:  0.56159854 , validation dice:  0.0 , this epoch took:  55.13390922546387 s
epoch:  24 , training loss:  0.564374 , validation loss:  0.5620055 , validation dice:  0.0 , this epoch took:  54.04724383354187 s
epoch:  25 , training loss:  0.5628972 , validation loss:  0.5602164 , validation dice:  0.0 , this epoch took:  52.17426776885986 s
epoch:  26 , training loss:  0.55919224 , validation loss:  0.5170052 , validation dice:  0.30670226 , this epoch took:  52.90781879425049 s
epoch:  27 , training loss:  0.50609666 , validation loss:  0.48592007 , validation dice:  0.3704142 , this epoch took:  51.448301792144775 s
epoch:  28 , training loss:  0.4939893 , validation loss:  0.48850536 , validation dice:  0.3520113 , this epoch took:  53.825414180755615 s
epoch:  29 , training loss:  0.49021703 , validation loss:  0.48209614 , validation dice:  0.3692947 , this epoch took:  53.21388101577759 s
epoch:  30 , training loss:  0.49110642 , validation loss:  0.48046476 , validation dice:  0.37126428 , this epoch took:  55.452471017837524 s
epoch:  31 , training loss:  0.49069434 , validation loss:  0.49178296 , validation dice:  0.34239078 , this epoch took:  54.057501554489136 s
epoch:  32 , training loss:  0.4914106 , validation loss:  0.4812765 , validation dice:  0.3738366 , this epoch took:  54.259493350982666 s
epoch:  33 , training loss:  0.49163517 , validation loss:  0.48236832 , validation dice:  0.36422575 , this epoch took:  53.41194152832031 s
epoch:  34 , training loss:  0.48473883 , validation loss:  0.48251912 , validation dice:  0.37176225 , this epoch took:  50.382224321365356 s
epoch:  35 , training loss:  0.49047548 , validation loss:  0.48590916 , validation dice:  0.35897678 , this epoch took:  53.468504667282104 s
