id,dataset,segment,type,model,result,metric
case_9,KIDNEY,KIDNEY,DIR,ensemble,0.972122944959528,ndice
case_9,KIDNEY,KIDNEY,DSI,ensemble,0.9171813941750696,ndice
case_9,KIDNEY,KIDNEY,DMU,ensemble,0.9694603903547996,ndice
case_9,KIDNEY,UNCERTAINTY,DIR,ensemble,0.6446661550219136,ndice
case_9,KIDNEY,UNCERTAINTY,DSI,ensemble,0.2836879432605823,ndice
case_9,KIDNEY,UNCERTAINTY,DMU,ensemble,0.438292964239466,ndice
case_21,KIDNEY,KIDNEY,DIR,ensemble,0.9388014220404536,ndice
case_21,KIDNEY,KIDNEY,DSI,ensemble,0.0,ndice
case_21,KIDNEY,KIDNEY,DMU,ensemble,0.0019277108433688,ndice
case_21,KIDNEY,UNCERTAINTY,DIR,ensemble,0.4899999999965,ndice
case_21,KIDNEY,UNCERTAINTY,DSI,ensemble,0.0891120175712905,ndice
case_21,KIDNEY,UNCERTAINTY,DMU,ensemble,0.104602933737881,ndice
case_20,KIDNEY,KIDNEY,DIR,ensemble,0.9362172402890176,ndice
case_20,KIDNEY,KIDNEY,DSI,ensemble,0.2329657902170399,ndice
case_20,KIDNEY,KIDNEY,DMU,ensemble,0.0,ndice
case_20,KIDNEY,UNCERTAINTY,DIR,ensemble,0.6113463166756026,ndice
case_20,KIDNEY,UNCERTAINTY,DSI,ensemble,0.1232595297874383,ndice
case_20,KIDNEY,UNCERTAINTY,DMU,ensemble,0.0774975646714173,ndice
case_22,KIDNEY,KIDNEY,DIR,ensemble,0.7924133116118309,ndice
case_22,KIDNEY,KIDNEY,DSI,ensemble,0.0,ndice
case_22,KIDNEY,KIDNEY,DMU,ensemble,0.573995771669179,ndice
case_22,KIDNEY,UNCERTAINTY,DIR,ensemble,0.4147398843900669,ndice
case_22,KIDNEY,UNCERTAINTY,DSI,ensemble,0.09868699703505,ndice
case_22,KIDNEY,UNCERTAINTY,DMU,ensemble,0.1599164926927768,ndice
case_17,KIDNEY,KIDNEY,DIR,ensemble,0.9527725302800836,ndice
case_17,KIDNEY,KIDNEY,DSI,ensemble,0.330937836866096,ndice
case_17,KIDNEY,KIDNEY,DMU,ensemble,0.3699807119053656,ndice
case_17,KIDNEY,UNCERTAINTY,DIR,ensemble,0.4902807775351497,ndice
case_17,KIDNEY,UNCERTAINTY,DSI,ensemble,0.1229223038265888,ndice
case_17,KIDNEY,UNCERTAINTY,DMU,ensemble,0.2327299593641804,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.9176201372945216,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.8662103298017038,ndice
case_11,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.9174729652765083,ndice
case_11,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.4129615674422535,ndice
case_11,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.3999999999973422,ndice
case_11,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.4295432458656021,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.9584728734060332,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.953958264322776,ndice
case_29,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.9517017828170125,ndice
case_29,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.4411177644666555,ndice
case_29,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.4727921498619734,ndice
case_29,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.3247232472284782,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.8181818181775435,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.8574514038830592,ndice
case_8,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.8658337859811742,ndice
case_8,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.3896396396352518,ndice
case_8,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.3401139137482497,ndice
case_8,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.2657657657627729,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.8763948497816464,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.7461617195458231,ndice
case_15,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.8741837178890981,ndice
case_15,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.4646892655334415,ndice
case_15,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.2126816380435094,ndice
case_15,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.2412387938040649,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.9301014656118092,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.9364093463444648,ndice
case_21,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.9238356164358252,ndice
case_21,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.488935721807282,ndice
case_21,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.5415595544083843,ndice
case_21,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.4097035040376051,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.9570222563278704,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.9710806697071116,ndice
case_20,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.9716016660319136,ndice
case_20,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.4731707316957763,ndice
case_20,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.2414231257910873,ndice
case_20,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.279635258350163,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,DIR,ensemble,0.532657657656158,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,DSI,ensemble,0.9467815509328598,ndice
case_7,BRAIN_TUMOR_TASK1,TASK1,DMU,ensemble,0.901515151510883,ndice
case_7,BRAIN_TUMOR_TASK1,UNCERTAINTY,DIR,ensemble,0.0908326324634917,ndice
case_7,BRAIN_TUMOR_TASK1,UNCERTAINTY,DSI,ensemble,0.2681215900212929,ndice
case_7,BRAIN_TUMOR_TASK1,UNCERTAINTY,DMU,ensemble,0.0592153960027416,ndice
case_93,HEART,LUNGS,DIR,ensemble,0.9476741000491826,ndice
case_93,HEART,LUNGS,DSI,ensemble,0.9492176852203908,ndice
case_93,HEART,LUNGS,DMU,ensemble,0.9614179500795323,ndice
case_93,HEART,HEART,DIR,ensemble,0.9646291119630138,ndice
case_93,HEART,HEART,DSI,ensemble,0.956562707700511,ndice
case_93,HEART,HEART,DMU,ensemble,0.9633270898133756,ndice
case_93,HEART,UNCERTAINTY,DIR,ensemble,0.4847252529257663,ndice
case_93,HEART,UNCERTAINTY,DSI,ensemble,0.2904304220641521,ndice
case_93,HEART,UNCERTAINTY,DMU,ensemble,0.267720124591455,ndice
case_103,HEART,LUNGS,DIR,ensemble,0.9523670056977273,ndice
case_103,HEART,LUNGS,DSI,ensemble,0.9594439837300794,ndice
case_103,HEART,LUNGS,DMU,ensemble,0.9622179173026592,ndice
case_103,HEART,HEART,DIR,ensemble,0.9778753386086698,ndice
case_103,HEART,HEART,DSI,ensemble,0.9651854097733316,ndice
case_103,HEART,HEART,DMU,ensemble,0.9728829025410476,ndice
case_103,HEART,UNCERTAINTY,DIR,ensemble,0.5864023580472949,ndice
case_103,HEART,UNCERTAINTY,DSI,ensemble,0.4056492371638535,ndice
case_103,HEART,UNCERTAINTY,DMU,ensemble,0.3699825479928235,ndice
case_61,HEART,LUNGS,DIR,ensemble,0.9766398481480174,ndice
case_61,HEART,LUNGS,DSI,ensemble,0.9658152242976732,ndice
case_61,HEART,LUNGS,DMU,ensemble,0.9734535809016502,ndice
case_61,HEART,HEART,DIR,ensemble,0.980779540902728,ndice
case_61,HEART,HEART,DSI,ensemble,0.9852237076053312,ndice
case_61,HEART,HEART,DMU,ensemble,0.9845959319642932,ndice
case_61,HEART,UNCERTAINTY,DIR,ensemble,0.6242083456640283,ndice
case_61,HEART,UNCERTAINTY,DSI,ensemble,0.4602262837245777,ndice
case_61,HEART,UNCERTAINTY,DMU,ensemble,0.4396279396275538,ndice
case_83,HEART,LUNGS,DIR,ensemble,0.9572410437319876,ndice
case_83,HEART,LUNGS,DSI,ensemble,0.9665475996382092,ndice
case_83,HEART,LUNGS,DMU,ensemble,0.9512571615161708,ndice
case_83,HEART,HEART,DIR,ensemble,0.9851181545879468,ndice
case_83,HEART,HEART,DSI,ensemble,0.982112489111899,ndice
case_83,HEART,HEART,DMU,ensemble,0.9834772091380956,ndice
case_83,HEART,UNCERTAINTY,DIR,ensemble,0.6166246851382802,ndice
case_83,HEART,UNCERTAINTY,DSI,ensemble,0.3788239840275785,ndice
case_83,HEART,UNCERTAINTY,DMU,ensemble,0.2927405075740751,ndice
case_52,HEART,LUNGS,DIR,ensemble,0.944137292672436,ndice
case_52,HEART,LUNGS,DSI,ensemble,0.9051210697960256,ndice
case_52,HEART,LUNGS,DMU,ensemble,0.9379678495600924,ndice
case_52,HEART,HEART,DIR,ensemble,0.9554631439477786,ndice
case_52,HEART,HEART,DSI,ensemble,0.9535819449950952,ndice
case_52,HEART,HEART,DMU,ensemble,0.9624711885108014,ndice
case_52,HEART,UNCERTAINTY,DIR,ensemble,0.3545486784737563,ndice
case_52,HEART,UNCERTAINTY,DSI,ensemble,0.1972552056444249,ndice
case_52,HEART,UNCERTAINTY,DMU,ensemble,0.2246634762723721,ndice
case_107,HEART,LUNGS,DIR,ensemble,0.9684574391471876,ndice
case_107,HEART,LUNGS,DSI,ensemble,0.9598843058348592,ndice
case_107,HEART,LUNGS,DMU,ensemble,0.9634974666267764,ndice
case_107,HEART,HEART,DIR,ensemble,0.9847511988345524,ndice
