id,dataset,segment,type,model,result,metric
case_17,KIDNEY,KIDNEY,SIN,ensemble,0.8670535331317679,dice
case_17,KIDNEY,KIDNEY,SIN,ensemble,0.1015368177982152,ged
case_9,KIDNEY,KIDNEY,SIN,ensemble,0.9391340035885996,dice
case_9,KIDNEY,KIDNEY,SIN,ensemble,0.0939130016888885,ged
case_21,KIDNEY,KIDNEY,SIN,ensemble,0.6353580840313611,dice
case_21,KIDNEY,KIDNEY,SIN,ensemble,0.3205207406649859,ged
case_20,KIDNEY,KIDNEY,SIN,ensemble,0.8441693049467515,dice
case_20,KIDNEY,KIDNEY,SIN,ensemble,0.1074687911342535,ged
case_22,KIDNEY,KIDNEY,SIN,ensemble,0.4495761928540697,dice
case_22,KIDNEY,KIDNEY,SIN,ensemble,0.3812995397002026,ged
case_17,KIDNEY,KIDNEY,MUL,ensemble,0.8913901795846234,dice
case_17,KIDNEY,KIDNEY,MUL,ensemble,0.0639131019059937,ged
case_9,KIDNEY,KIDNEY,MUL,ensemble,0.9730712877539625,dice
case_9,KIDNEY,KIDNEY,MUL,ensemble,0.0203081727515652,ged
case_21,KIDNEY,KIDNEY,MUL,ensemble,0.6916763403340037,dice
case_21,KIDNEY,KIDNEY,MUL,ensemble,0.1824454845619386,ged
case_20,KIDNEY,KIDNEY,MUL,ensemble,0.7669011726027306,dice
case_20,KIDNEY,KIDNEY,MUL,ensemble,0.0850520075769943,ged
case_22,KIDNEY,KIDNEY,MUL,ensemble,0.8384091112700651,dice
case_22,KIDNEY,KIDNEY,MUL,ensemble,0.1372166219197054,ged
case_17,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.8572193658341374,dice
case_17,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.1314257170439812,ged
case_9,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.8263763597363964,dice
case_9,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.1050388979197914,ged
case_21,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.316204749226143,dice
case_21,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.6938052731733597,ged
case_20,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.2902129716688848,dice
case_20,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.5828532683417743,ged
case_22,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.3255455674249829,dice
case_22,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.4776541766178226,ged
case_17,KIDNEY,KIDNEY,MUL,hier_probabilistic,0.92528836518605,dice
case_17,KIDNEY,KIDNEY,MUL,hier_probabilistic,0.022008309657683,ged
case_9,KIDNEY,KIDNEY,MUL,hier_probabilistic,0.9588202968990625,dice
case_9,KIDNEY,KIDNEY,MUL,hier_probabilistic,0.0150808931588747,ged
case_21,KIDNEY,KIDNEY,MUL,hier_probabilistic,0.746489913116127,dice
case_21,KIDNEY,KIDNEY,MUL,hier_probabilistic,0.1606018735508652,ged
case_20,KIDNEY,KIDNEY,MUL,hier_probabilistic,0.5953250833032463,dice
case_20,KIDNEY,KIDNEY,MUL,hier_probabilistic,0.3006493299411955,ged
case_22,KIDNEY,KIDNEY,MUL,hier_probabilistic,0.7995662588980148,dice
case_22,KIDNEY,KIDNEY,MUL,hier_probabilistic,0.1409650808948515,ged
case_17,KIDNEY,KIDNEY,SIN,bayesian,0.7710191805173641,dice
case_17,KIDNEY,KIDNEY,SIN,bayesian,0.2688283251879398,ged
case_9,KIDNEY,KIDNEY,SIN,bayesian,0.7814016270135635,dice
case_9,KIDNEY,KIDNEY,SIN,bayesian,0.2675799250626332,ged
case_21,KIDNEY,KIDNEY,SIN,bayesian,0.7741226429565973,dice
case_21,KIDNEY,KIDNEY,SIN,bayesian,0.2440131397177606,ged
case_20,KIDNEY,KIDNEY,SIN,bayesian,0.4357824874913014,dice
case_20,KIDNEY,KIDNEY,SIN,bayesian,0.8349218266723908,ged
case_22,KIDNEY,KIDNEY,SIN,bayesian,0.8118284235838757,dice
case_22,KIDNEY,KIDNEY,SIN,bayesian,0.1667780863115603,ged
case_17,KIDNEY,KIDNEY,MUL,bayesian,0.958972219698532,dice
case_17,KIDNEY,KIDNEY,MUL,bayesian,0.0266154816405079,ged
case_9,KIDNEY,KIDNEY,MUL,bayesian,0.945086327330303,dice
case_9,KIDNEY,KIDNEY,MUL,bayesian,0.0670479718079556,ged
case_21,KIDNEY,KIDNEY,MUL,bayesian,0.4306400195753707,dice
case_21,KIDNEY,KIDNEY,MUL,bayesian,0.61318374034342,ged
case_20,KIDNEY,KIDNEY,MUL,bayesian,0.5181112564291266,dice
case_20,KIDNEY,KIDNEY,MUL,bayesian,0.5151888930328846,ged
case_22,KIDNEY,KIDNEY,MUL,bayesian,0.6896974015749313,dice
case_22,KIDNEY,KIDNEY,MUL,bayesian,0.1914399854379769,ged
case_17,KIDNEY,KIDNEY,SIN,probabilistic,0.6372762127104364,dice
case_17,KIDNEY,KIDNEY,SIN,probabilistic,0.2582759985215894,ged
case_9,KIDNEY,KIDNEY,SIN,probabilistic,0.7982002199158651,dice
case_9,KIDNEY,KIDNEY,SIN,probabilistic,0.1486000474855061,ged
case_21,KIDNEY,KIDNEY,SIN,probabilistic,0.3332092418301761,dice
case_21,KIDNEY,KIDNEY,SIN,probabilistic,0.4980224694591331,ged
case_20,KIDNEY,KIDNEY,SIN,probabilistic,0.6959489241091507,dice
case_20,KIDNEY,KIDNEY,SIN,probabilistic,0.2450601743120415,ged
case_22,KIDNEY,KIDNEY,SIN,probabilistic,0.3026886171183328,dice
case_22,KIDNEY,KIDNEY,SIN,probabilistic,0.4916374693767068,ged
case_17,KIDNEY,KIDNEY,MUL,probabilistic,0.9623333685290016,dice
case_17,KIDNEY,KIDNEY,MUL,probabilistic,0.0238580053778302,ged
case_9,KIDNEY,KIDNEY,MUL,probabilistic,0.975712133132034,dice
case_9,KIDNEY,KIDNEY,MUL,probabilistic,0.0141635423846318,ged
case_21,KIDNEY,KIDNEY,MUL,probabilistic,0.7925713191766798,dice
case_21,KIDNEY,KIDNEY,MUL,probabilistic,0.0603961713594146,ged
case_20,KIDNEY,KIDNEY,MUL,probabilistic,0.776745813855314,dice
case_20,KIDNEY,KIDNEY,MUL,probabilistic,0.0527461572943093,ged
case_22,KIDNEY,KIDNEY,MUL,probabilistic,0.785102158764511,dice
case_22,KIDNEY,KIDNEY,MUL,probabilistic,0.0697591539501212,ged
case_15,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.7783267225772666,dice
case_15,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.252193871032827,ged
case_21,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.9305159152210788,dice
case_21,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.0483722277576158,ged
case_11,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.8400675911039025,dice
case_11,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.1070257183588273,ged
case_20,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.9255040723324944,dice
case_20,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.0794756705705287,ged
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.8902955651478837,dice
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.0449247312466535,ged
case_8,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.833244665699234,dice
case_8,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.1472041957707987,ged
case_29,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.9187949742255228,dice
case_29,BRAIN_TUMOR_TASK1,TASK1,SIN,ensemble,0.0570370853365812,ged
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.8736043335377954,dice
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.0744836506232866,ged
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.940620106451131,dice
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.0475503547677376,ged
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.876269592424849,dice
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.0697406246378762,ged
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.9684297651207072,dice
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.0171647694391029,ged
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.6368226730723706,dice
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.4266721650379909,ged
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.8655487034532467,dice
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.0915297105006308,ged
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.9336870219667492,dice
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,ensemble,0.0381415194638674,ged
case_15,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.8184584298964475,dice
case_15,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.1530481000226122,ged
case_21,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.9299462927032008,dice
case_21,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.0664740942726044,ged
case_11,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.8444310724654821,dice
case_11,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.1400450502738191,ged
case_20,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.930882216028834,dice
case_20,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.0827251237695213,ged
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.7079928954608664,dice
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.3456544134106905,ged
