id,dataset,segment,type,model,result,metric
case_9,KIDNEY,KIDNEY,SIN,ensemble,0.9295842883958337,ndice
case_21,KIDNEY,KIDNEY,SIN,ensemble,0.6263008833152183,ndice
case_20,KIDNEY,KIDNEY,SIN,ensemble,0.8269720503236512,ndice
case_22,KIDNEY,KIDNEY,SIN,ensemble,0.515939609477523,ndice
case_17,KIDNEY,KIDNEY,SIN,ensemble,0.8459088788019535,ndice
case_9,KIDNEY,KIDNEY,MUL,ensemble,0.9678377227953927,ndice
case_21,KIDNEY,KIDNEY,MUL,ensemble,0.6795578651327816,ndice
case_20,KIDNEY,KIDNEY,MUL,ensemble,0.7283482508438939,ndice
case_22,KIDNEY,KIDNEY,MUL,ensemble,0.8206174642783068,ndice
case_17,KIDNEY,KIDNEY,MUL,ensemble,0.8672811708667703,ndice
case_9,KIDNEY,KIDNEY,DIR,ensemble,0.972122944959528,ndice
case_9,KIDNEY,KIDNEY,DSI,ensemble,0.9171813941750697,ndice
case_9,KIDNEY,KIDNEY,DMU,ensemble,0.9694603903547996,ndice
case_9,KIDNEY,UNCERTAINTY,DIR,ensemble,0.6446661550219136,ndice
case_9,KIDNEY,UNCERTAINTY,DSI,ensemble,0.2836879432605823,ndice
case_9,KIDNEY,UNCERTAINTY,DMU,ensemble,0.43829296423946607,ndice
case_21,KIDNEY,KIDNEY,DIR,ensemble,0.9388014220404536,ndice
case_21,KIDNEY,KIDNEY,DSI,ensemble,0.0,ndice
case_21,KIDNEY,KIDNEY,DMU,ensemble,0.001927710843368849,ndice
case_21,KIDNEY,UNCERTAINTY,DIR,ensemble,0.4899999999965,ndice
case_21,KIDNEY,UNCERTAINTY,DSI,ensemble,0.08911201757129053,ndice
case_21,KIDNEY,UNCERTAINTY,DMU,ensemble,0.10460293373788102,ndice
case_20,KIDNEY,KIDNEY,DIR,ensemble,0.9362172402890176,ndice
case_20,KIDNEY,KIDNEY,DSI,ensemble,0.23296579021703998,ndice
case_20,KIDNEY,KIDNEY,DMU,ensemble,0.0,ndice
case_20,KIDNEY,UNCERTAINTY,DIR,ensemble,0.6113463166756026,ndice
case_20,KIDNEY,UNCERTAINTY,DSI,ensemble,0.12325952978743836,ndice
case_20,KIDNEY,UNCERTAINTY,DMU,ensemble,0.07749756467141736,ndice
case_22,KIDNEY,KIDNEY,DIR,ensemble,0.7924133116118309,ndice
case_22,KIDNEY,KIDNEY,DSI,ensemble,0.0,ndice
case_22,KIDNEY,KIDNEY,DMU,ensemble,0.573995771669179,ndice
case_22,KIDNEY,UNCERTAINTY,DIR,ensemble,0.4147398843900669,ndice
case_22,KIDNEY,UNCERTAINTY,DSI,ensemble,0.09868699703505009,ndice
case_22,KIDNEY,UNCERTAINTY,DMU,ensemble,0.1599164926927768,ndice
case_17,KIDNEY,KIDNEY,DIR,ensemble,0.9527725302800835,ndice
case_17,KIDNEY,KIDNEY,DSI,ensemble,0.33093783686609607,ndice
case_17,KIDNEY,KIDNEY,DMU,ensemble,0.36998071190536563,ndice
case_17,KIDNEY,UNCERTAINTY,DIR,ensemble,0.4902807775351497,ndice
case_17,KIDNEY,UNCERTAINTY,DSI,ensemble,0.12292230382658886,ndice
case_17,KIDNEY,UNCERTAINTY,DMU,ensemble,0.2327299593641804,ndice
case_9,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.8084143426246586,ndice
case_21,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.39728991844654876,ndice
case_20,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.409740860299003,ndice
case_22,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.4441017964206683,ndice
case_17,KIDNEY,KIDNEY,SIN,hier_probabilistic,0.8077886957541258,ndice
case_9,KIDNEY,KIDNEY,MUL,hier_probabilistic,0.9265027604327775,ndice
